"","Sample","Plot_Number","Plant","Plate","Well","Plot","Treatment","Zone","Percent_Moisture","Lat","Lon","Basel_Diameter_estimated","Half_Tree_Cover","Tree_Height","Trunk_Circumference"
"plate2-F04-ITS","C15B",15,"B",2,"F04","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate2-F05-ITS","P11J",11,"J",2,"F05","Pine011","Pine","Plateau",5.482174167,-41.97001702,-71.45614397,10,99,250,31.41592654
"plate2-F06-ITS","P3K",3,"K",2,"F06","Pine003","Pine","Plateau",2.412493269,-41.96853703,-71.46316004,11,137,279,34.55751919
"plate2-F07-ITS","C11D",11,"D",2,"F07","Con011","Control","Plateau",0.913786253,-41.96943599,-71.45543603,NA,NA,NA,NA
"plate2-F08-ITS","S3C",3,"C",2,"F08","Sap003","Sapling","Plateau",3.00061237,-41.96887901,-71.46297698,4.7,58,120,14.76548547
"plate2-F09-ITS","S5P",5,"P",2,"F09","Sap005","Sapling","Plateau",3.585229712,-41.96759004,-71.46496299,2.7,46,93,8.482300165
"plate2-F10-ITS","P1F",1,"F",2,"F10","Pine001","Pine","Plateau",3.038704669,-41.97056302,-71.46467004,29.6,182,395,93
"plate2-F11-ITS","P9G",9,"G",2,"F11","Pine009","Pine","Plateau",4.898688915,-41.96577,-71.45395998,17,137,410,53.40707511
"plate2-F12-ITS","P9J",9,"J",2,"F12","Pine009","Pine","Plateau",4.898688915,-41.96577,-71.45395998,17,137,410,53.40707511
"plate2-G01-ITS","C3 Soil",3,"Soil",2,"G01","Con003","Control","Plateau",4.012378615,-41.96898504,-71.46278,NA,NA,NA,NA
"plate2-G02-ITS","C13Y",13,"Y",2,"G02","Con013","Control","Plateau",6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA
"plate2-G03-ITS","P5B.1",5,"B",2,"G03","Pine005","Pine","Plateau",5.38028169,-41.96658002,-71.46364099,16,95,233,50.26548246
"plate2-G04-ITS","P7C",7,"C",2,"G04","Pine007","Pine","Plateau",5.192843866,-41.96773597,-71.45947603,13,140,320,40.8407045
"plate2-G05-ITS","C3G",3,"G",2,"G05","Con003","Control","Plateau",4.012378615,-41.96898504,-71.46278,NA,NA,NA,NA
"plate2-G06-ITS","S2E",2,"E",2,"G06","Sap002","Sapling","Plateau",5.444811482,-41.96944596,-71.46430501,5.2,44,123,16.3362818
"plate2-G07-ITS","P8C",8,"C",2,"G07","Pine008","Pine","Plateau",5.765694773,-41.96754101,-71.45763896,13,154,446,40.8407045
"plate2-G08-ITS","C5B",5,"B",2,"G08","Con005","Control","Plateau",2.799148797,-41.96641004,-71.46256601,NA,NA,NA,NA
"plate2-G09-ITS","P7O",7,"O",2,"G09","Pine007","Pine","Plateau",5.192843866,-41.96773597,-71.45947603,13,140,320,40.8407045
